Date,Temperature,Rainfall,Humidity,Pressure
2024-01-01,15.2,0.0,62,1013.5
2024-01-02,16.1,0.5,65,1012.8
2024-01-03,14.8,2.3,70,1011.2
2024-01-04,17.5,0.0,58,1013.1
2024-01-05,18.3,0.0,55,1014.2
2024-01-06,19.1,0.0,52,1014.9
2024-01-07,20.2,1.2,48,1013.5
2024-01-08,21.5,0.0,45,1012.8
2024-01-09,22.1,0.0,43,1012.3
2024-01-10,21.8,0.3,46,1011.9
2024-01-11,20.5,1.5,51,1010.8
2024-01-12,19.2,2.8,58,1010.2
2024-01-13,18.1,3.2,62,1009.5
2024-01-14,17.5,1.9,60,1010.3
2024-01-15,16.8,0.7,57,1011.5
2024-02-01,18.5,0.2,58,1013.2
2024-02-02,19.2,0.0,55,1013.8
2024-02-03,20.1,0.0,52,1014.1
2024-02-04,21.3,0.5,49,1013.5
2024-02-05,22.5,0.0,45,1012.9
2024-02-06,23.1,0.0,42,1012.4
2024-02-07,23.8,0.0,40,1011.8
2024-02-08,24.2,0.0,38,1011.2
2024-02-09,23.9,0.8,41,1010.6
2024-02-10,22.5,2.1,48,1010.1
2024-02-11,21.1,3.5,54,1009.5
2024-02-12,20.2,2.9,59,1009.0
2024-02-13,19.5,1.4,61,1009.8
2024-02-14,18.8,0.6,58,1010.6
2024-02-15,18.1,0.1,56,1011.5
2024-03-01,22.3,0.3,50,1013.1
2024-03-02,23.1,0.0,47,1013.6
2024-03-03,24.2,0.0,44,1013.9
2024-03-04,25.1,0.0,41,1013.2
2024-03-05,26.0,0.2,39,1012.7
2024-03-06,26.8,0.0,36,1012.2
2024-03-07,27.2,0.0,35,1011.5
2024-03-08,26.9,0.5,38,1011.0
2024-03-09,25.8,1.8,43,1010.4
2024-03-10,24.5,2.6,50,1009.8
2024-03-11,23.2,3.1,56,1009.3
2024-03-12,22.1,2.4,59,1009.9
2024-03-13,21.5,0.9,61,1010.6
2024-03-14,20.8,0.4,59,1011.4
2024-03-15,20.2,0.0,57,1012.2
2024-04-01,25.5,0.4,45,1013.0
2024-04-02,26.3,0.0,42,1013.5
2024-04-03,27.1,0.0,40,1013.8
2024-04-04,28.0,0.0,38,1013.2
2024-04-05,28.7,0.0,36,1012.6
2024-04-06,29.2,0.2,34,1012.0
2024-04-07,29.5,0.5,33,1011.3
2024-04-08,29.1,1.2,36,1010.7
2024-04-09,28.3,2.3,41,1010.1
2024-04-10,27.2,3.4,48,1009.4
2024-04-11,26.1,4.1,54,1008.8
2024-04-12,25.2,3.6,58,1009.2
2024-04-13,24.5,1.8,60,1009.9
2024-04-14,23.9,0.6,58,1010.7
2024-04-15,23.3,0.2,56,1011.5
2024-05-01,28.2,1.1,42,1012.8
2024-05-02,29.0,0.3,39,1012.3
2024-05-03,29.8,0.0,37,1011.7
2024-05-04,30.5,0.0,35,1011.1
2024-05-05,31.1,0.0,33,1010.4
2024-05-06,31.5,0.5,32,1009.8
2024-05-07,31.2,1.8,35,1009.1
2024-05-08,30.4,3.2,40,1008.4
2024-05-09,29.3,4.5,47,1007.8
2024-05-10,28.1,5.2,54,1007.2
2024-05-11,27.2,4.8,60,1007.6
2024-05-12,26.5,3.1,62,1008.3
2024-05-13,26.0,1.5,61,1009.0
2024-05-14,25.5,0.5,59,1009.8
2024-05-15,25.1,0.1,57,1010.6
2024-06-01,31.3,2.4,48,1011.9
2024-06-02,32.1,1.8,46,1011.2
2024-06-03,32.8,0.5,44,1010.5
2024-06-04,33.2,0.0,42,1009.8
2024-06-05,33.5,0.0,41,1009.1
2024-06-06,33.1,1.2,43,1008.4
2024-06-07,32.3,2.9,46,1007.7
2024-06-08,31.2,4.6,51,1007.0
2024-06-09,30.1,6.3,58,1006.3
2024-06-10,29.2,5.8,63,1006.8
2024-06-11,28.5,4.2,64,1007.4
2024-06-12,28.0,2.7,63,1008.1
2024-06-13,27.6,1.4,61,1008.8
2024-06-14,27.2,0.5,59,1009.5
2024-06-15,26.9,0.0,58,1010.3
2024-07-01,32.5,3.2,52,1010.8
2024-07-02,33.2,2.1,50,1010.1
2024-07-03,33.8,0.8,48,1009.4
2024-07-04,34.1,0.0,47,1008.7
2024-07-05,34.2,0.0,46,1008.0
2024-07-06,33.8,1.5,48,1007.3
2024-07-07,32.9,3.1,51,1006.6
2024-07-08,31.8,5.2,56,1005.9
2024-07-09,30.5,7.1,62,1005.2
2024-07-10,29.4,6.8,66,1005.7
2024-07-11,28.7,5.3,67,1006.3
2024-07-12,28.2,3.6,65,1007.0
2024-07-13,27.9,1.9,63,1007.7
2024-07-14,27.5,0.7,61,1008.4
2024-07-15,27.2,0.2,59,1009.1
2024-08-01,32.1,2.8,51,1009.6
2024-08-02,32.8,1.9,49,1008.9
2024-08-03,33.4,0.6,47,1008.2
2024-08-04,33.7,0.0,46,1007.5
2024-08-05,33.8,0.0,45,1006.8
2024-08-06,33.4,1.2,47,1006.1
2024-08-07,32.5,2.8,50,1005.4
2024-08-08,31.4,4.9,55,1004.7
2024-08-09,30.2,6.7,61,1004.0
2024-08-10,29.1,6.4,65,1004.5
2024-08-11,28.4,4.8,66,1005.1
2024-08-12,27.9,3.2,64,1005.8
2024-08-13,27.6,1.7,62,1006.5
2024-08-14,27.2,0.5,60,1007.2
2024-08-15,26.9,0.1,58,1007.9
2024-09-01,31.2,1.9,48,1008.4
2024-09-02,31.9,1.2,46,1007.7
2024-09-03,32.5,0.4,44,1007.0
2024-09-04,32.8,0.0,43,1006.3
2024-09-05,32.9,0.0,42,1005.6
2024-09-06,32.5,0.9,44,1004.9
2024-09-07,31.6,2.3,47,1004.2
2024-09-08,30.5,4.1,52,1003.5
2024-09-09,29.3,5.8,58,1002.8
2024-09-10,28.2,5.3,63,1003.3
2024-09-11,27.5,3.9,64,1003.9
2024-09-12,27.0,2.4,62,1004.6
2024-09-13,26.7,1.3,60,1005.3
2024-09-14,26.3,0.4,58,1006.0
2024-09-15,26.0,0.0,56,1006.7
2024-10-01,28.5,0.8,45,1007.2
2024-10-02,29.2,0.3,43,1006.5
2024-10-03,29.8,0.0,41,1005.8
2024-10-04,30.1,0.0,40,1005.1
2024-10-05,30.2,0.0,39,1004.4
2024-10-06,29.8,0.6,41,1003.7
2024-10-07,28.9,1.7,44,1003.0
2024-10-08,27.8,3.1,49,1002.3
2024-10-09,26.7,4.4,54,1001.6
2024-10-10,25.8,4.1,59,1002.1
2024-10-11,25.1,3.0,60,1002.7
2024-10-12,24.6,1.8,58,1003.4
2024-10-13,24.2,0.9,56,1004.1
2024-10-14,23.8,0.3,54,1004.8
2024-10-15,23.5,0.0,52,1005.5
2024-11-01,25.2,0.5,48,1006.0
2024-11-02,25.9,0.2,46,1005.3
2024-11-03,26.5,0.0,44,1004.6
2024-11-04,26.8,0.0,43,1003.9
2024-11-05,26.9,0.0,42,1003.2
2024-11-06,26.5,0.4,44,1002.5
2024-11-07,25.6,1.2,47,1001.8
2024-11-08,24.5,2.6,52,1001.1
2024-11-09,23.4,3.9,57,1000.4
2024-11-10,22.5,3.6,61,1000.9
2024-11-11,21.8,2.6,62,1001.5
2024-11-12,21.3,1.6,60,1002.2
2024-11-13,21.0,0.8,58,1002.9
2024-11-14,20.7,0.3,56,1003.6
2024-11-15,20.4,0.0,54,1004.3
2024-12-01,21.5,0.3,50,1004.8
2024-12-02,22.2,0.1,48,1004.1
2024-12-03,22.8,0.0,46,1003.4
2024-12-04,23.1,0.0,45,1002.7
2024-12-05,23.2,0.0,44,1002.0
2024-12-06,22.8,0.2,46,1001.3
2024-12-07,21.9,0.7,49,1000.6
2024-12-08,20.8,1.8,53,999.9
2024-12-09,19.7,3.2,58,999.2
2024-12-10,18.8,2.9,62,999.7
2024-12-11,18.1,2.1,63,1000.3
2024-12-12,17.6,1.2,61,1001.0
2024-12-13,17.3,0.6,59,1001.7
2024-12-14,17.0,0.2,57,1002.4
2024-12-15,16.7,0.0,55,1003.1
